Post_ID,Post_DateTime,User,Post_Text,Content_Category,Hashtag,Likes,Comments,Shares
54,2026-08-17 12:00:00,user_07,Post about entertainment and #Programming,Entertainment,#Programming,2336,199.0,7.0
55,2026-08-22 07:20:00,user_15,Post about technology and #Tech,Technology,#Tech,441,170.0,36.0
56,2026-08-07 05:10:00,user_25,Post about technology and #Programming,Technology,#Programming,2292,,115.0
57,2026-08-09 16:50:00,user_05,Post about lifestyle and #Programming,Lifestyle,#Programming,620,98.0,174.0
58,2026-08-03 03:10:00,user_03,Post about business and #Programming,Business,#Programming,770,256.0,105.0
59,2026-08-06 23:00:00,user_01,Post about technology and #CyberSecurity,Technology,#CyberSecurity,2219,385.0,95.0
60,2026-08-04 01:20:00,user_13,Post about business and #DataScience,Business,#DataScience,1572,196.0,73.0
61,2026-08-09 12:50:00,user_08,Post about sports and #Startup,Sports,#Startup,1673,313.0,29.0
62,2026-08-20 04:10:00,user_11,Post about lifestyle and #Python,Lifestyle,#Python,755,382.0,33.0
63,2026-08-01 14:20:00,user_29,Post about technology and #Tech,Technology,#Tech,1855,106.0,261.0
64,2026-08-17 21:20:00,user_05,Post about education and #Startup,Education,#Startup,1029,430.0,124.0
65,2026-08-24 20:10:00,user_08,Post about sports and #AI,Sports,#AI,547,291.0,61.0
66,2026-08-14 05:20:00,user_06,Post about sports and #Innovation,Sports,#Innovation,612,5.0,6.0
67,2026-08-16 12:50:00,user_04,Post about education and #DataScience,Education,#DataScience,2133,96.0,156.0
68,2026-08-13 10:40:00,user_30,Post about lifestyle and #Career,Lifestyle,#Career,2335,437.0,104.0
69,2026-08-04 20:10:00,user_13,Post about sports and #AI,Sports,#AI,1894,0.0,275.0
70,2026-08-18 22:40:00,user_07,Post about sports and #Trending,Sports,#Trending,31,17.0,299.0
71,2026-08-11 07:40:00,user_03,Post about education and #AI,Education,#AI,683,90.0,49.0
72,2026-08-23 01:20:00,user_29,Post about sports and #Tech,Sports,#Tech,1976,236.0,281.0
73,2026-08-08 04:10:00,user_14,Post about business and #WebDevelopment,Business,#WebDevelopment,201,486.0,267.0
74,2026-08-24 17:30:00,user_21,Post about education and #Coding,Education,#Coding,2279,126.0,300.0
75,2026-08-16 20:10:00,user_22,Post about business and #Python,Business,#Python,1497,319.0,105.0
76,2026-08-03 23:10:00,user_04,Post about sports and #Startup,Sports,#Startup,330,463.0,197.0
77,2026-08-24 15:40:00,user_13,Post about lifestyle and #Coding,Lifestyle,#Coding,1782,473.0,85.0
78,2026-08-19 20:10:00,user_02,Post about education and #AI,Education,#AI,1065,427.0,126.0
79,2026-08-12 17:10:00,user_05,Post about lifestyle and #Coding,Lifestyle,#Coding,1682,59.0,226.0
80,2026-08-15 23:20:00,user_12,Post about entertainment and #Analytics,Entertainment,#Analytics,1729,0.0,43.0
81,2026-08-04 07:00:00,user_16,Post about entertainment and #AI,Entertainment,#AI,1205,3.0,297.0
82,2026-08-03 01:10:00,user_08,Post about sports and #Python,Sports,#Python,2307,285.0,233.0
83,2026-08-17 01:00:00,user_25,Post about technology and #AI,Technology,#AI,1764,127.0,
84,2026-08-20 22:00:00,user_17,Post about sports and #Innovation,Sports,#Innovation,466,294.0,140.0
85,2026-08-08 15:10:00,user_21,Post about education and #AI,Education,#AI,350,176.0,254.0
86,2026-08-01 10:40:00,user_20,Post about technology and #Coding,Technology,#Coding,1561,387.0,108.0
87,2026-08-09 01:10:00,user_04,Post about entertainment and #Python,Entertainment,#Python,877,156.0,46.0
88,2026-08-24 02:00:00,user_16,Post about education and #Trending,Education,#Trending,1346,7.0,94.0
89,2026-08-19 05:50:00,user_15,Post about education and #Innovation,Education,#Innovation,487,51.0,200.0
90,2026-08-18 00:10:00,user_05,Post about business and #Programming,Business,#Programming,336,170.0,184.0
91,2026-08-02 22:40:00,user_26,Post about business and #Python,Business,#Python,970,419.0,35.0
92,2026-08-04 21:00:00,user_30,Post about technology and #CloudComputing,Technology,#CloudComputing,2474,346.0,61.0
93,2026-08-23 20:10:00,user_28,Post about education and #MachineLearning,Education,#MachineLearning,1556,307.0,84.0
94,2026-08-12 18:40:00,user_23,Post about lifestyle and #Python,Lifestyle,#Python,1781,83.0,295.0
95,2026-08-15 16:30:00,user_19,Post about education and #AI,Education,#AI,1973,465.0,102.0
96,2026-08-11 13:20:00,user_30,Post about entertainment and #Startup,Entertainment,#Startup,1649,158.0,255.0
97,2026-08-03 22:30:00,user_11,Post about business and #Python,Business,#Python,1417,432.0,177.0
98,2026-08-23 07:50:00,user_01,Post about entertainment and #Python,Entertainment,#Python,2281,227.0,22.0
99,2026-08-03 17:00:00,user_18,Post about education and #AI,Education,#AI,1718,158.0,189.0
100,2026-08-12 08:00:00,user_14,Post about entertainment and #MachineLearning,Entertainment,#MachineLearning,706,308.0,37.0
101,2026-08-17 12:50:00,user_05,Post about lifestyle and #Analytics,Lifestyle,#Analytics,1598,234.0,98.0
102,2026-08-24 14:10:00,user_23,Post about technology and #Tech,Technology,#Tech,1745,255.0,69.0
103,2026-08-24 21:00:00,user_22,Post about lifestyle and #MachineLearning,Lifestyle,#MachineLearning,1880,407.0,150.0
104,2026-08-15 11:20:00,user_05,Post about education and #Python,Education,#Python,233,386.0,230.0
105,2026-08-13 20:50:00,user_15,Post about lifestyle and #AI,Lifestyle,#AI,562,270.0,120.0
106,2026-08-17 09:30:00,user_28,Post about lifestyle and #CyberSecurity,Lifestyle,#CyberSecurity,2163,49.0,108.0
107,2026-08-18 14:40:00,user_29,Post about sports and #Career,Sports,#Career,901,70.0,57.0
108,2026-08-12 02:10:00,user_02,Post about sports and #MachineLearning,Sports,#MachineLearning,738,438.0,150.0
109,2026-08-12 01:10:00,user_28,Post about sports and #DataScience,Sports,#DataScience,631,129.0,91.0
110,2026-08-24 10:30:00,user_21,Post about lifestyle and #Innovation,Lifestyle,#Innovation,1702,172.0,164.0
111,2026-08-25 08:30:00,user_18,Post about education and #MachineLearning,Education,#MachineLearning,1979,7.0,135.0
112,2026-08-03 22:10:00,user_05,Post about education and #MachineLearning,Education,#MachineLearning,1030,2.0,125.0
113,2026-08-16 06:40:00,user_09,Post about technology and #CyberSecurity,Technology,#CyberSecurity,1305,114.0,164.0
114,2026-08-04 01:10:00,user_20,Post about business and #Coding,Business,#Coding,2101,374.0,46.0
115,2026-08-10 16:10:00,user_29,Post about business and #WebDevelopment,Business,#WebDevelopment,2366,58.0,209.0
116,2026-08-09 19:50:00,user_16,Post about entertainment and #Programming,Entertainment,#Programming,1846,428.0,221.0
117,2026-08-12 13:30:00,user_30,Post about education and #Tech,Education,#Tech,149,48.0,160.0
118,2026-08-07 17:30:00,user_24,Post about sports and #MachineLearning,Sports,#MachineLearning,1896,85.0,194.0
119,2026-08-07 03:30:00,user_21,Post about education and #DataScience,Education,#DataScience,1669,147.0,189.0
120,2026-08-18 14:20:00,user_24,Post about entertainment and #MachineLearning,Entertainment,#MachineLearning,1225,216.0,67.0
121,2026-08-10 00:20:00,user_08,Post about education and #MachineLearning,Education,#MachineLearning,697,248.0,141.0
122,2026-08-20 05:40:00,user_16,Post about technology and #Startup,Technology,#Startup,2201,399.0,156.0
123,2026-08-01 15:50:00,user_28,Post about entertainment and #Programming,Entertainment,#Programming,801,386.0,272.0
124,2026-08-12 02:10:00,user_12,Post about entertainment and #CyberSecurity,Entertainment,#CyberSecurity,474,429.0,206.0
125,2026-08-08 00:10:00,user_26,Post about entertainment and #Python,Entertainment,#Python,1934,377.0,271.0
126,2026-08-15 05:50:00,user_11,Post about lifestyle and #DataScience,Lifestyle,#DataScience,2205,153.0,45.0
127,2026-08-10 18:30:00,user_02,Post about business and #Programming,Business,#Programming,890,310.0,286.0
128,2026-08-01 20:10:00,user_11,Post about entertainment and #Python,Entertainment,#Python,1560,482.0,258.0
129,2026-08-12 07:40:00,user_15,Post about technology and #AI,Technology,#AI,1477,261.0,153.0
130,2026-08-05 07:10:00,user_21,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1534,465.0,166.0
131,2026-08-13 18:00:00,user_24,Post about education and #Innovation,Education,#Innovation,954,185.0,299.0
132,2026-08-21 00:10:00,user_26,Post about lifestyle and #MachineLearning,Lifestyle,#MachineLearning,187,280.0,154.0
133,2026-08-05 12:00:00,user_09,Post about lifestyle and #Analytics,Lifestyle,#Analytics,2176,321.0,25.0
134,2026-08-15 17:30:00,user_24,Post about lifestyle and #DataScience,Lifestyle,#DataScience,2430,44.0,98.0
135,2026-08-11 05:20:00,user_23,Post about education and #Career,Education,#Career,2168,50.0,163.0
136,2026-08-05 11:40:00,user_12,Post about business and #Tech,Business,#Tech,961,433.0,214.0
137,2026-08-14 03:50:00,user_27,Post about technology and #MachineLearning,Technology,#MachineLearning,2320,5.0,70.0
138,2026-08-25 10:50:00,user_23,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1358,249.0,
139,2026-08-19 13:10:00,user_27,Post about sports and #DataScience,Sports,#DataScience,69,299.0,104.0
140,2026-08-19 12:50:00,user_01,Post about sports and #Career,Sports,#Career,1996,300.0,263.0
141,2026-08-04 06:40:00,user_30,Post about technology and #Coding,Technology,#Coding,1646,251.0,191.0
142,2026-08-03 02:10:00,user_04,Post about technology and #CyberSecurity,Technology,#CyberSecurity,1804,324.0,185.0
143,2026-08-05 18:30:00,user_19,Post about lifestyle and #MachineLearning,Lifestyle,#MachineLearning,1124,412.0,43.0
144,2026-08-23 20:20:00,user_17,Post about entertainment and #Analytics,Entertainment,#Analytics,2123,253.0,47.0
145,2026-08-02 20:40:00,user_22,Post about education and #Coding,Education,#Coding,1421,126.0,266.0
146,2026-08-01 14:50:00,user_01,Post about education and #MachineLearning,Education,#MachineLearning,2431,335.0,185.0
147,2026-08-14 05:20:00,user_25,Post about sports and #Tech,Sports,#Tech,2056,351.0,134.0
148,2026-08-23 03:40:00,user_12,Post about lifestyle and #AI,Lifestyle,#AI,11,145.0,276.0
149,2026-08-18 23:30:00,user_16,Post about sports and #Coding,Sports,#Coding,279,208.0,
150,2026-08-09 10:10:00,user_27,Post about lifestyle and #Python,Lifestyle,#Python,1131,404.0,64.0
151,2026-08-17 06:50:00,user_08,Post about technology and #Innovation,Technology,#Innovation,2187,132.0,129.0
152,2026-08-22 13:00:00,user_19,Post about technology and #Innovation,Technology,#Innovation,2083,389.0,187.0
153,2026-08-20 02:40:00,user_12,Post about entertainment and #CloudComputing,Entertainment,#CloudComputing,252,207.0,48.0
154,2026-08-05 00:10:00,user_15,Post about education and #DataScience,Education,#DataScience,1880,433.0,239.0
155,2026-08-11 19:30:00,user_13,Post about lifestyle and #Programming,Lifestyle,#Programming,493,239.0,274.0
156,2026-08-01 10:00:00,user_28,Post about business and #Coding,Business,#Coding,1387,492.0,42.0
157,2026-08-15 11:20:00,user_04,Post about business and #Innovation,Business,#Innovation,951,16.0,289.0
158,2026-08-09 18:00:00,user_26,Post about entertainment and #Python,Entertainment,#Python,1161,124.0,93.0
159,2026-08-01 02:20:00,user_14,Post about education and #Programming,Education,#Programming,2384,182.0,96.0
160,2026-08-07 15:00:00,user_21,Post about business and #DataScience,Business,#DataScience,1113,425.0,295.0
161,2026-08-13 20:20:00,user_26,Post about entertainment and #Innovation,Entertainment,#Innovation,1797,348.0,230.0
162,2026-08-21 13:10:00,user_01,Post about sports and #AI,Sports,#AI,198,160.0,227.0
163,2026-08-25 11:00:00,user_07,Post about technology and #Innovation,Technology,#Innovation,627,492.0,105.0
164,2026-08-18 19:50:00,user_21,Post about business and #DataScience,Business,#DataScience,2491,402.0,279.0
165,2026-08-01 02:20:00,user_30,Post about education and #Trending,Education,#Trending,123,135.0,39.0
166,2026-08-23 20:40:00,user_19,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1513,308.0,245.0
167,2026-08-21 20:10:00,user_03,Post about lifestyle and #Programming,Lifestyle,#Programming,1488,266.0,251.0
168,2026-08-15 11:50:00,user_27,Post about business and #MachineLearning,Business,#MachineLearning,95,220.0,150.0
169,2026-08-07 04:30:00,user_16,Post about sports and #AI,Sports,#AI,396,102.0,198.0
170,2026-08-19 15:40:00,user_21,Post about business and #Career,Business,#Career,1871,196.0,81.0
171,2026-08-16 15:00:00,user_08,Post about entertainment and #Tech,Entertainment,#Tech,1091,401.0,49.0
172,2026-08-20 20:40:00,user_02,Post about business and #Analytics,Business,#Analytics,1057,405.0,213.0
173,2026-08-09 18:50:00,user_03,Post about education and #Tech,Education,#Tech,1848,74.0,88.0
174,2026-08-10 13:10:00,user_01,Post about education and #Coding,Education,#Coding,86,25.0,253.0
175,2026-08-08 05:50:00,user_07,Post about sports and #AI,Sports,#AI,623,303.0,61.0
176,2026-08-21 02:50:00,user_17,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1771,471.0,86.0
177,2026-08-13 00:50:00,user_12,Post about education and #Programming,Education,#Programming,1897,428.0,102.0
178,2026-08-24 12:00:00,user_24,Post about lifestyle and #Trending,Lifestyle,#Trending,91,132.0,63.0
179,2026-08-25 19:40:00,user_12,Post about education and #MachineLearning,Education,#MachineLearning,565,147.0,148.0
180,2026-08-03 12:10:00,user_18,Post about education and #AI,Education,#AI,317,113.0,113.0
181,2026-08-21 11:40:00,user_25,Post about entertainment and #DataScience,Entertainment,#DataScience,2083,486.0,224.0
182,2026-08-13 02:20:00,user_26,Post about business and #AI,Business,#AI,1003,369.0,81.0
183,2026-08-23 14:30:00,user_26,Post about sports and #AI,Sports,#AI,1419,206.0,30.0
184,2026-08-09 02:20:00,user_26,Post about education and #Tech,Education,#Tech,2388,132.0,51.0
185,2026-08-09 15:30:00,user_16,Post about sports and #MachineLearning,Sports,#MachineLearning,1307,222.0,227.0
186,2026-08-03 20:50:00,user_16,Post about education and #MachineLearning,Education,#MachineLearning,1855,396.0,10.0
187,2026-08-21 00:00:00,user_28,Post about education and #MachineLearning,Education,#MachineLearning,194,158.0,223.0
188,2026-08-22 23:50:00,user_20,Post about entertainment and #Python,Entertainment,#Python,1686,419.0,43.0
189,2026-08-10 21:10:00,user_10,Post about technology and #Python,Technology,#Python,1074,154.0,179.0
190,2026-08-13 19:30:00,user_03,Post about sports and #AI,Sports,#AI,1542,243.0,206.0
191,2026-08-23 04:40:00,user_21,Post about entertainment and #AI,Entertainment,#AI,489,312.0,171.0
192,2026-08-02 06:10:00,user_10,Post about lifestyle and #AI,Lifestyle,#AI,637,386.0,289.0
193,2026-08-16 15:20:00,user_07,Post about education and #AI,Education,#AI,1188,57.0,122.0
194,2026-08-12 10:40:00,user_15,Post about education and #Tech,Education,#Tech,1734,241.0,259.0
195,2026-08-07 03:00:00,user_10,Post about education and #Analytics,Education,#Analytics,83,62.0,246.0
196,2026-08-10 14:50:00,user_29,Post about lifestyle and #CyberSecurity,Lifestyle,#CyberSecurity,1023,401.0,47.0
197,2026-08-11 00:10:00,user_21,Post about technology and #Python,Technology,#Python,1017,240.0,116.0
198,2026-08-17 22:10:00,user_16,Post about business and #AI,Business,#AI,120,83.0,182.0
199,2026-08-14 08:50:00,user_18,Post about entertainment and #Coding,Entertainment,#Coding,272,432.0,136.0
200,2026-08-10 19:50:00,user_19,Post about lifestyle and #WebDevelopment,Lifestyle,#WebDevelopment,1807,,250.0
201,2026-08-01 03:40:00,user_11,Post about sports and #Coding,Sports,#Coding,348,407.0,125.0
202,2026-08-22 01:40:00,user_17,Post about business and #Innovation,Business,#Innovation,1020,7.0,
203,2026-08-14 06:40:00,user_04,Post about technology and #DataScience,Technology,#DataScience,850,27.0,149.0
204,2026-08-12 19:50:00,user_25,Post about education and #Programming,Education,#Programming,1367,220.0,83.0
205,2026-08-06 23:50:00,user_17,Post about entertainment and #AI,Entertainment,#AI,2245,97.0,91.0
206,2026-08-19 15:30:00,user_30,Post about business and #Analytics,Business,#Analytics,333,408.0,11.0
207,2026-08-10 17:50:00,user_25,Post about sports and #Coding,Sports,#Coding,2303,312.0,280.0
208,2026-08-09 07:20:00,user_25,Post about education and #Tech,Education,#Tech,2122,74.0,200.0
209,2026-08-04 06:40:00,user_13,Post about education and #Coding,Education,#Coding,865,207.0,59.0
210,2026-08-17 00:50:00,user_25,Post about business and #AI,Business,#AI,1979,449.0,39.0
211,2026-08-14 12:50:00,user_27,Post about entertainment and #Programming,Entertainment,#Programming,2075,489.0,99.0
212,2026-08-12 02:10:00,user_11,Post about sports and #Career,Sports,#Career,1754,471.0,205.0
213,2026-08-23 20:10:00,user_09,Post about sports and #AI,Sports,#AI,2308,314.0,5.0
214,2026-08-07 23:40:00,user_24,Post about business and #Tech,Business,#Tech,2423,281.0,115.0
215,2026-08-11 00:50:00,user_20,Post about technology and #DataScience,Technology,#DataScience,1041,170.0,219.0
216,2026-08-15 07:50:00,user_11,Post about sports and #AI,Sports,#AI,159,375.0,246.0
217,2026-08-04 17:20:00,user_30,Post about lifestyle and #DataScience,Lifestyle,#DataScience,1255,255.0,117.0
218,2026-08-23 22:40:00,user_27,Post about sports and #Tech,Sports,#Tech,528,427.0,126.0
219,2026-08-02 19:50:00,user_18,Post about lifestyle and #WebDevelopment,Lifestyle,#WebDevelopment,110,483.0,35.0
220,2026-08-12 08:50:00,user_14,Post about business and #MachineLearning,Business,#MachineLearning,1231,5.0,189.0
221,2026-08-19 13:10:00,user_01,Post about lifestyle and #Coding,Lifestyle,#Coding,957,220.0,172.0
222,2026-08-21 13:40:00,user_19,Post about sports and #DataScience,Sports,#DataScience,889,141.0,284.0
223,2026-08-20 18:20:00,user_09,Post about technology and #DataScience,Technology,#DataScience,540,417.0,21.0
224,2026-08-15 04:10:00,user_10,Post about business and #AI,Business,#AI,2449,34.0,147.0
225,2026-08-03 20:10:00,user_21,Post about business and #DataScience,Business,#DataScience,2002,51.0,160.0
226,2026-08-24 06:40:00,user_24,Post about business and #Python,Business,#Python,1645,175.0,175.0
227,2026-08-01 16:40:00,user_16,Post about technology and #DataScience,Technology,#DataScience,1313,462.0,193.0
228,2026-08-25 02:20:00,user_16,Post about lifestyle and #DataScience,Lifestyle,#DataScience,2307,156.0,120.0
229,2026-08-15 16:30:00,user_05,Post about entertainment and #Tech,Entertainment,#Tech,1458,189.0,36.0
230,2026-08-15 04:50:00,user_06,Post about entertainment and #Tech,Entertainment,#Tech,84,181.0,151.0
231,2026-08-24 01:50:00,user_07,Post about technology and #MachineLearning,Technology,#MachineLearning,1475,353.0,57.0
232,2026-08-18 22:40:00,user_03,Post about entertainment and #DataScience,Entertainment,#DataScience,2002,25.0,2.0
233,2026-08-12 17:40:00,user_07,Post about lifestyle and #Coding,Lifestyle,#Coding,2361,18.0,164.0
234,2026-08-04 22:50:00,user_03,Post about sports and #Programming,Sports,#Programming,571,143.0,224.0
235,2026-08-01 09:40:00,user_02,Post about entertainment and #Python,Entertainment,#Python,581,306.0,272.0
236,2026-08-18 15:10:00,user_26,Post about education and #Analytics,Education,#Analytics,393,304.0,95.0
237,2026-08-16 04:10:00,user_11,Post about lifestyle and #Python,Lifestyle,#Python,703,284.0,292.0
238,2026-08-16 15:40:00,user_05,Post about technology and #Tech,Technology,#Tech,2326,406.0,119.0
239,2026-08-23 16:30:00,user_19,Post about education and #AI,Education,#AI,506,1.0,174.0
240,2026-08-25 21:50:00,user_18,Post about entertainment and #AI,Entertainment,#AI,1960,206.0,26.0
241,2026-08-06 15:00:00,user_12,Post about technology and #Analytics,Technology,#Analytics,1760,170.0,228.0
242,2026-08-07 10:20:00,user_29,Post about education and #Analytics,Education,#Analytics,2207,276.0,117.0
243,2026-08-07 23:10:00,user_05,Post about sports and #Coding,Sports,#Coding,1838,357.0,44.0
244,2026-08-01 13:20:00,user_15,Post about technology and #Coding,Technology,#Coding,1280,37.0,179.0
245,2026-08-13 20:00:00,user_15,Post about sports and #Analytics,Sports,#Analytics,1501,276.0,270.0
246,2026-08-11 11:50:00,user_26,Post about lifestyle and #WebDevelopment,Lifestyle,#WebDevelopment,770,152.0,45.0
247,2026-08-14 02:10:00,user_08,Post about sports and #Coding,Sports,#Coding,2472,300.0,161.0
248,2026-08-05 18:20:00,user_02,Post about sports and #CyberSecurity,Sports,#CyberSecurity,1369,31.0,84.0
249,2026-08-13 02:20:00,user_10,Post about technology and #Tech,Technology,#Tech,1907,191.0,33.0
250,2026-08-09 03:50:00,user_24,Post about sports and #Tech,Sports,#Tech,1488,192.0,56.0
251,2026-08-12 04:10:00,user_17,Post about education and #DataScience,Education,#DataScience,444,243.0,140.0
252,2026-08-18 20:30:00,user_03,Post about lifestyle and #Python,Lifestyle,#Python,1075,241.0,108.0
253,2026-08-13 23:50:00,user_21,Post about business and #Startup,Business,#Startup,1584,73.0,245.0
254,2026-08-15 08:50:00,user_15,Post about lifestyle and #CyberSecurity,Lifestyle,#CyberSecurity,1313,172.0,58.0
255,2026-08-22 18:40:00,user_14,Post about sports and #MachineLearning,Sports,#MachineLearning,1199,393.0,138.0
256,2026-08-24 21:30:00,user_14,Post about lifestyle and #Python,Lifestyle,#Python,1697,258.0,152.0
257,2026-08-21 17:00:00,user_24,Post about technology and #Python,Technology,#Python,1782,379.0,193.0
258,2026-08-04 06:00:00,user_16,Post about business and #WebDevelopment,Business,#WebDevelopment,471,346.0,124.0
259,2026-08-21 17:50:00,user_30,Post about business and #Programming,Business,#Programming,347,222.0,64.0
260,2026-08-22 17:50:00,user_06,Post about business and #Analytics,Business,#Analytics,874,125.0,6.0
261,2026-08-10 08:20:00,user_19,Post about entertainment and #DataScience,Entertainment,#DataScience,377,101.0,78.0
262,2026-08-14 00:30:00,user_05,Post about entertainment and #DataScience,Entertainment,#DataScience,1630,258.0,60.0
263,2026-08-02 00:20:00,user_18,Post about education and #Innovation,Education,#Innovation,1371,193.0,15.0
264,2026-08-01 15:40:00,user_30,Post about education and #CloudComputing,Education,#CloudComputing,1165,333.0,54.0
265,2026-08-07 05:40:00,user_30,Post about lifestyle and #Trending,Lifestyle,#Trending,2051,370.0,214.0
266,2026-08-18 07:30:00,user_24,Post about sports and #Analytics,Sports,#Analytics,754,24.0,235.0
267,2026-08-23 20:10:00,user_27,Post about education and #AI,Education,#AI,1816,3.0,36.0
268,2026-08-22 21:10:00,user_23,Post about business and #WebDevelopment,Business,#WebDevelopment,996,45.0,238.0
